time,open,high,low,close,volume
2015-08-12,1.1039,1.12137,1.1024,1.11553,143564
2015-08-13,1.11563,1.11885,1.10796,1.11476,111571
2015-08-14,1.1146,1.11885,1.10976,1.111,110116
2015-08-17,1.1114,1.11245,1.10584,1.10728,120954
2015-08-18,1.10738,1.10935,1.10171,1.10228,118625
2015-08-19,1.10238,1.11342,1.10174,1.1116,149578
2015-08-20,1.11154,1.1244399999999999,1.11067,1.12375,154304
2015-08-21,1.12372,1.13884,1.12289,1.13865,186431
2015-08-24,1.13742,1.17138,1.13679,1.16129,261024
2015-08-25,1.16168,1.16214,1.13961,1.15127,240331
2015-08-26,1.15155,1.15612,1.12912,1.1311499999999999,231687
2015-08-27,1.13072,1.13642,1.12028,1.12393,182216
2015-08-28,1.12428,1.13094,1.11559,1.11803,157044
2015-08-31,1.11767,1.1262,1.11692,1.1209,123174
2015-09-01,1.12079,1.13318,1.12077,1.13133,174012
2015-09-02,1.13127,1.13193,1.12162,1.12258,159394
2015-09-03,1.12252,1.1243,1.10869,1.11222,143763
2015-09-04,1.11206,1.11894,1.10897,1.11469,145529
2015-09-07,1.11571,1.11774,1.1121,1.11684,112259
2015-09-08,1.1166800000000001,1.12292,1.11522,1.12012,144640
2015-09-09,1.11981,1.1216,1.11313,1.1206,153104
2015-09-10,1.1202,1.1295,1.11715,1.12776,168140
2015-09-11,1.12755,1.13493,1.12538,1.13395,146209
2015-09-14,1.1329799999999999,1.13729,1.12832,1.1315,123048
2015-09-15,1.13145,1.13284,1.1258,1.12687,137018
2015-09-16,1.1268,1.13204,1.12138,1.1289,132532
2015-09-17,1.12885,1.14408,1.12842,1.14336,145689
2015-09-18,1.14333,1.146,1.12691,1.12985,159089
2015-09-21,1.12823,1.1329799999999999,1.11809,1.11888,139437
2015-09-22,1.11886,1.12072,1.1113,1.11236,136505
2015-09-23,1.11229,1.1213,1.11049,1.11844,143671
2015-09-24,1.11843,1.1295600000000001,1.11641,1.12321,159672
2015-09-25,1.1228,1.1228,1.11159,1.11994,156142
2015-09-28,1.1191,1.12474,1.11463,1.12436,145183
2015-09-29,1.12441,1.1280999999999999,1.11935,1.12478,156307
2015-09-30,1.12469,1.1261,1.11569,1.11763,144420
2015-10-01,1.11748,1.1209,1.11347,1.11939,136303
2015-10-02,1.11931,1.13181,1.11501,1.1209500000000001,152574
2015-10-05,1.12202,1.1289,1.11731,1.11871,155664
2015-10-06,1.11854,1.12792,1.11717,1.12704,136981
2015-10-07,1.12706,1.1284,1.12112,1.12368,145693
2015-10-08,1.12353,1.13265,1.12341,1.12756,139258
2015-10-09,1.12748,1.13869,1.12667,1.13569,145604
2015-10-12,1.13588,1.1396600000000001,1.13547,1.13578,94013
2015-10-13,1.13571,1.14108,1.13438,1.13782,124917
2015-10-14,1.13773,1.14889,1.13768,1.1473,138506
2015-10-15,1.14723,1.1494900000000001,1.13629,1.13803,144400
2015-10-16,1.13819,1.13945,1.13339,1.13474,122270
2015-10-19,1.13546,1.13788,1.1305399999999999,1.13269,124837
2015-10-20,1.13268,1.13868,1.1323699999999999,1.13453,110310
2015-10-21,1.1343,1.13772,1.13342,1.13382,111411
2015-10-22,1.13372,1.13507,1.10998,1.11087,150246
2015-10-23,1.11055,1.11394,1.0996299999999999,1.10169,153746
2015-10-26,1.10071,1.10682,1.10035,1.10529,114119
2015-10-27,1.10524,1.1078000000000001,1.103,1.10462,115382
2015-10-28,1.10454,1.10955,1.08966,1.09267,128620
2015-10-29,1.09268,1.09862,1.09026,1.0985800000000001,125217
2015-10-30,1.0985800000000001,1.10723,1.09653,1.1005,137706
2015-11-02,1.10266,1.10527,1.09998,1.1015,109114
2015-11-03,1.10139,1.10298,1.09357,1.09627,119749
2015-11-04,1.09626,1.0967500000000001,1.08439,1.08653,136540
2015-11-05,1.08628,1.08972,1.08333,1.08828,133932
2015-11-06,1.08825,1.08935,1.0707,1.0739,132696
2015-11-09,1.07283,1.07896,1.07191,1.0749900000000001,146695
2015-11-10,1.075,1.07637,1.0674,1.07227,141813
2015-11-11,1.07214,1.07733,1.07054,1.07417,131074
2015-11-12,1.07432,1.08301,1.06906,1.0812,175868
2015-11-13,1.08103,1.08167,1.07137,1.07668,158760
2015-11-16,1.07366,1.07578,1.06744,1.06847,148817
2015-11-17,1.0677,1.06904,1.06305,1.0643,145784
2015-11-18,1.06413,1.06922,1.06166,1.06583,135966
2015-11-19,1.06574,1.07628,1.06549,1.07338,156694
2015-11-20,1.07322,1.07382,1.06397,1.06451,141561
2015-11-23,1.06372,1.06565,1.05922,1.06354,150590
2015-11-24,1.06355,1.0673300000000001,1.06193,1.06426,154783
2015-11-25,1.0642800000000001,1.0689,1.05657,1.06238,163860
2015-11-26,1.06228,1.0627,1.05996,1.06102,100405
2015-11-27,1.06101,1.06376,1.05682,1.05938,122303
2015-11-30,1.05887,1.05947,1.05576,1.05643,125836
2015-12-01,1.05639,1.06369,1.05629,1.06324,142795
2015-12-02,1.0634,1.06355,1.05505,1.06135,148672
2015-12-03,1.06121,1.09807,1.05222,1.09385,193877
2015-12-04,1.09408,1.09559,1.08357,1.08779,197815
2015-12-07,1.08681,1.08872,1.07958,1.08366,137004
2015-12-08,1.08348,1.09021,1.08299,1.0892,147793
2015-12-09,1.08895,1.10427,1.08789,1.10244,173961
2015-12-10,1.10214,1.10242,1.09247,1.09401,152562
2015-12-11,1.09395,1.10305,1.09263,1.09894,163728
2015-12-14,1.09801,1.10483,1.09452,1.09922,173997
2015-12-15,1.09905,1.10593,1.09044,1.09285,159311
2015-12-16,1.09289,1.10116,1.08878,1.09104,173023
2015-12-17,1.09097,1.09138,1.08023,1.08245,150539
2015-12-18,1.08242,1.08742,1.08047,1.08613,156544
2015-12-21,1.08511,1.09387,1.08457,1.09139,127939
2015-12-22,1.09133,1.09839,1.09021,1.09568,120357
2015-12-23,1.09506,1.09568,1.08696,1.09099,104495
2015-12-24,1.09087,1.09673,1.09023,1.09542,61302
2015-12-28,1.0944099999999999,1.09922,1.0944099999999999,1.09681,79315
2015-12-29,1.09641,1.09914,1.08988,1.0918,92900
2015-12-30,1.09214,1.09434,1.0901399999999999,1.09312,93938
2015-12-31,1.09303,1.09368,1.08526,1.08609,66736
2016-01-04,1.08696,1.09462,1.07808,1.08319,157687
2016-01-05,1.08274,1.08386,1.07104,1.07463,132203
2016-01-06,1.07464,1.07992,1.07127,1.07796,149117
2016-01-07,1.07789,1.09399,1.07707,1.09287,177685
2016-01-08,1.09243,1.09331,1.08028,1.09245,172703
2016-01-11,1.09171,1.09697,1.08476,1.08581,153753
2016-01-12,1.08568,1.08999,1.08193,1.0857,159298
2016-01-13,1.08579,1.0887,1.08046,1.08757,165246
2016-01-14,1.08739,1.09429,1.08342,1.08634,181007
2016-01-15,1.08647,1.09844,1.0854300000000001,1.09132,184568
2016-01-18,1.09206,1.09273,1.08684,1.08941,128564
2016-01-19,1.08894,1.09389,1.08591,1.09065,163116
2016-01-20,1.09051,1.09757,1.08769,1.08883,192784
2016-01-21,1.08876,1.09208,1.0777,1.0872600000000001,208559
2016-01-22,1.08727,1.08763,1.07888,1.07965,166857
2016-01-25,1.07886,1.08566,1.07886,1.08475,153222
2016-01-26,1.08474,1.0874,1.08185,1.08683,148897
2016-01-27,1.08685,1.09163,1.08503,1.0892,176075
2016-01-28,1.08925,1.09674,1.08694,1.0939,170459
2016-01-29,1.09384,1.09483,1.08096,1.083,209310
2016-02-01,1.08297,1.09125,1.08142,1.08873,149072
2016-02-02,1.08873,1.09397,1.08819,1.09177,151389
2016-02-03,1.09158,1.11452,1.09034,1.11017,200352
2016-02-04,1.11016,1.12387,1.10693,1.12067,225686
2016-02-05,1.12053,1.12468,1.11084,1.11578,187784
2016-02-08,1.11415,1.12155,1.10862,1.1191200000000001,189737
2016-02-09,1.1191,1.13378,1.1162,1.1294,231656
2016-02-10,1.12903,1.13111,1.11602,1.12889,229356
2016-02-11,1.12899,1.13761,1.12736,1.13218,253405
2016-02-12,1.1322,1.13337,1.12138,1.12503,208643
2016-02-15,1.12336,1.1249500000000001,1.11276,1.11531,159956
2016-02-16,1.1153,1.11928,1.11239,1.11423,168249
2016-02-17,1.1142,1.11788,1.11057,1.11267,171626
2016-02-18,1.11262,1.11493,1.10707,1.11058,166185
2016-02-19,1.11063,1.1139000000000001,1.10664,1.11279,157798
2016-02-22,1.11111,1.11244,1.10028,1.10281,148929
2016-02-23,1.10273,1.10524,1.09898,1.1018,159977
2016-02-24,1.10173,1.10459,1.09571,1.10116,176041
2016-02-25,1.10137,1.10496,1.09865,1.10168,161056
2016-02-26,1.10168,1.10679,1.09114,1.09289,159885
2016-02-29,1.0913,1.09625,1.08589,1.08718,161758
2016-03-01,1.08751,1.08932,1.08338,1.08656,162298
2016-03-02,1.08644,1.08807,1.08251,1.08672,160186
2016-03-03,1.08676,1.09725,1.08533,1.09556,154816
2016-03-04,1.09556,1.1043,1.09027,1.10064,166289
2016-03-07,1.09879,1.10255,1.09397,1.10121,127729
2016-03-08,1.10127,1.10575,1.09933,1.10096,142910
2016-03-09,1.10095,1.10345,1.09457,1.09981,134228
2016-03-10,1.09973,1.12177,1.08219,1.11759,176693
2016-03-11,1.11759,1.12093,1.10801,1.11462,150540
2016-03-14,1.11444,1.11759,1.10775,1.11012,127000
2016-03-15,1.11012,1.11248,1.10715,1.11048,130357
2016-03-16,1.11049,1.1242,1.10575,1.1212,146973
2016-03-17,1.12123,1.13422,1.12048,1.13151,161032
2016-03-18,1.1313900000000001,1.13365,1.12558,1.1268799999999999,138417
2016-03-21,1.12682,1.1284399999999999,1.12344,1.12386,115649
2016-03-22,1.12386,1.12596,1.11881,1.1215,118562
2016-03-23,1.12151,1.12231,1.11628,1.11796,90109
2016-03-24,1.11802,1.11874,1.11439,1.11786,104732
2016-03-25,1.11786,1.11789,1.11536,1.11613,45514
2016-03-28,1.11599,1.12197,1.11527,1.11952,62033
2016-03-29,1.1193,1.13032,1.11687,1.12893,141292
2016-03-30,1.12896,1.13652,1.12831,1.13387,152488
2016-03-31,1.1335899999999999,1.14115,1.13098,1.13788,145361
2016-04-01,1.13777,1.14377,1.13344,1.13897,159690
2016-04-04,1.13994,1.14123,1.1357,1.13888,129475
2016-04-05,1.13863,1.14049,1.1335600000000001,1.13826,146695
2016-04-06,1.13826,1.14317,1.13262,1.13979,149211
2016-04-07,1.13975,1.14538,1.13373,1.13767,165889
2016-04-08,1.13751,1.1419,1.1348799999999999,1.13949,140419
2016-04-11,1.14138,1.1447,1.13721,1.14097,126835
2016-04-12,1.14052,1.14645,1.13458,1.13835,144352
2016-04-13,1.13827,1.13909,1.1268,1.12723,151524
2016-04-14,1.12728,1.12945,1.12335,1.12663,137771
2016-04-15,1.12616,1.13167,1.12453,1.12827,119449
2016-04-18,1.12998,1.13317,1.12734,1.13119,119210
2016-04-19,1.13091,1.13842,1.1303,1.13575,121795
2016-04-20,1.1356600000000001,1.13876,1.12901,1.12952,129818
2016-04-21,1.12952,1.13985,1.12696,1.1286,147583
2016-04-22,1.12859,1.13084,1.12154,1.12154,143320
2016-04-25,1.12167,1.12779,1.12145,1.1266,122000
2016-04-26,1.1266,1.13394,1.12559,1.1295,125742
2016-04-27,1.12948,1.13611,1.12713,1.13191,131122
2016-04-28,1.13199,1.13676,1.1296,1.13509,155075
2016-04-29,1.13509,1.1459,1.1347,1.14504,156574
2016-05-02,1.14582,1.15354,1.14479,1.15331,131824
2016-05-03,1.15331,1.16159,1.14947,1.1494900000000001,159314
2016-05-04,1.1496,1.15292,1.14659,1.14855,156038
2016-05-05,1.14829,1.14934,1.13856,1.14048,129054
2016-05-06,1.1404,1.14796,1.13863,1.14009,138490
2016-05-09,1.13939,1.14194,1.1375,1.13806,118175
2016-05-10,1.13814,1.14096,1.13583,1.13717,117173
2016-05-11,1.13691,1.14462,1.13686,1.14251,110018
2016-05-12,1.14242,1.14288,1.13702,1.13766,116605
2016-05-13,1.13736,1.13795,1.12825,1.1308799999999999,133533
2016-05-16,1.13098,1.1342,1.13019,1.13193,103824
2016-05-17,1.13198,1.13482,1.13013,1.13118,120937
2016-05-18,1.13111,1.13159,1.1214,1.12158,142939
2016-05-19,1.12144,1.12297,1.11796,1.12019,137673
2016-05-20,1.12016,1.1237,1.1196,1.1221700000000001,100668
2016-05-23,1.12033,1.12426,1.11873,1.1219,105512
2016-05-24,1.12187,1.12267,1.11321,1.11393,122763
2016-05-25,1.11398,1.11666,1.11285,1.11539,117544
2016-05-26,1.11536,1.12164,1.11492,1.11927,117558
2016-05-27,1.11918,1.12004,1.11107,1.1113,110864
2016-05-30,1.11125,1.11443,1.10977,1.1138,74596
2016-05-31,1.11362,1.11731,1.11219,1.11303,134654
2016-06-01,1.11301,1.11937,1.11138,1.11869,142623
2016-06-02,1.11865,1.12198,1.11449,1.1151,134491
2016-06-03,1.11499,1.1373199999999999,1.10707,1.13662,151235
2016-06-06,1.13542,1.13923,1.13262,1.13528,142741
2016-06-07,1.13528,1.13801,1.1338300000000001,1.13555,121862
2016-06-08,1.13563,1.14103,1.13541,1.13938,118280
2016-06-09,1.13936,1.14151,1.13052,1.13129,129055
2016-06-10,1.1313,1.1320999999999999,1.1245,1.12533,133550
2016-06-13,1.12478,1.1302699999999999,1.12316,1.12893,149811
2016-06-14,1.1289,1.1298,1.11886,1.12056,139493
2016-06-15,1.12068,1.12982,1.11894,1.12602,140534
2016-06-16,1.1258,1.12946,1.11307,1.1223,179607
2016-06-17,1.12231,1.12961,1.12225,1.12752,136556
2016-06-20,1.13308,1.13821,1.13018,1.13121,141590
2016-06-21,1.13093,1.13492,1.12428,1.12439,126239
2016-06-22,1.12421,1.13372,1.12362,1.12947,122068
2016-06-23,1.12937,1.14208,1.1293,1.13791,141171
2016-06-24,1.1384,1.14278,1.09113,1.1091199999999999,298052
2016-06-27,1.1002399999999999,1.10833,1.09705,1.10237,211882
2016-06-28,1.10235,1.11112,1.10098,1.10647,154073
2016-06-29,1.10641,1.113,1.10489,1.11235,152566
2016-06-30,1.1117,1.11541,1.10238,1.11048,172106
2016-07-01,1.11014,1.11689,1.10716,1.11361,133497
2016-07-04,1.11245,1.11591,1.10975,1.11532,94539
2016-07-05,1.11528,1.11862,1.10619,1.1075,128447
2016-07-06,1.10709,1.11112,1.10288,1.10989,159080
2016-07-07,1.10969,1.11069,1.10522,1.10601,128413
2016-07-08,1.10601,1.11198,1.10016,1.10497,124816
2016-07-11,1.10448,1.10743,1.10153,1.10568,115627
2016-07-12,1.10556,1.1126,1.10517,1.10604,142857
2016-07-13,1.10595,1.11195,1.10418,1.10883,133693
2016-07-14,1.10877,1.11644,1.1085,1.11191,150937
2016-07-15,1.11173,1.11486,1.1024,1.10244,140172
2016-07-18,1.10497,1.10839,1.10372,1.10748,108109
2016-07-19,1.10735,1.10801,1.09996,1.10189,109057
2016-07-20,1.10187,1.10298,1.0981,1.10129,105232
2016-07-21,1.10122,1.106,1.09793,1.10237,134508
2016-07-22,1.10229,1.10406,1.09551,1.09747,118458
2016-07-25,1.09725,1.09986,1.09516,1.09942,100144
2016-07-26,1.09927,1.10294,1.09778,1.09855,103516
2016-07-27,1.09821,1.10647,1.09314,1.10583,119260
2016-07-28,1.1057,1.11191,1.10519,1.10757,117064
2016-07-29,1.10763,1.11972,1.1072,1.11743,140309
2016-08-01,1.11715,1.11831,1.11548,1.11614,101194
2016-08-02,1.11602,1.12334,1.11573,1.12209,116373
2016-08-03,1.12202,1.12265,1.11403,1.11474,99248
2016-08-04,1.11478,1.11561,1.11135,1.11282,110679
2016-08-05,1.11252,1.11608,1.10453,1.10867,103834
2016-08-08,1.10795,1.11046,1.10716,1.10878,88072
2016-08-09,1.10855,1.11221,1.107,1.11169,93176
2016-08-10,1.11151,1.11898,1.11114,1.11744,106029
2016-08-11,1.11744,1.11909,1.11349,1.11354,107170
2016-08-12,1.11356,1.12209,1.11309,1.11634,109188
2016-08-15,1.11659,1.12032,1.1153,1.11825,83715
2016-08-16,1.1182,1.13221,1.1177,1.12772,123356
2016-08-17,1.1277300000000001,1.13155,1.12403,1.12874,114477
2016-08-18,1.12837,1.1366100000000001,1.12837,1.13536,121750
2016-08-19,1.13521,1.13591,1.13037,1.1323699999999999,110099
2016-08-22,1.13087,1.13302,1.12707,1.1319,105292
2016-08-23,1.1318,1.13548,1.13028,1.13041,100937
2016-08-24,1.13039,1.13111,1.12448,1.12628,109242
2016-08-25,1.12625,1.1297,1.12588,1.12833,82751
2016-08-26,1.1278299999999999,1.13406,1.11806,1.11856,122981
2016-08-29,1.11823,1.12074,1.11575,1.11889,94988
2016-08-30,1.11873,1.1192,1.11317,1.11418,96173
2016-08-31,1.114,1.1165,1.11227,1.11571,103050
2016-09-01,1.11562,1.12048,1.11272,1.11957,105894
2016-09-02,1.11927,1.12518,1.11449,1.11449,119722
2016-09-05,1.11564,1.11819,1.11393,1.11458,81686
2016-09-06,1.11456,1.1262699999999999,1.11404,1.12555,110662
2016-09-07,1.12516,1.12706,1.12283,1.12385,109600
2016-09-08,1.12384,1.13266,1.1234,1.12607,127443
2016-09-09,1.12596,1.12849,1.11981,1.12235,121473
2016-09-12,1.12304,1.1268,1.121,1.12349,126786
2016-09-13,1.12331,1.12601,1.12036,1.12182,124533
2016-09-14,1.1218,1.12737,1.12097,1.1249500000000001,116530
2016-09-15,1.12488,1.12833,1.12187,1.12435,123670
2016-09-16,1.12422,1.12497,1.11492,1.11535,119434
2016-09-19,1.11531,1.11975,1.11505,1.11731,99139
2016-09-20,1.1172900000000001,1.12131,1.1149499999999999,1.11501,113779
2016-09-21,1.11486,1.11962,1.11228,1.11878,134851
2016-09-22,1.11865,1.12569,1.11844,1.12068,110922
2016-09-23,1.12068,1.12403,1.11935,1.12149,105350
2016-09-26,1.1229,1.12788,1.12204,1.12524,100826
2016-09-27,1.12533,1.12586,1.11906,1.12137,119008
2016-09-28,1.12152,1.12365,1.11814,1.12163,121252
2016-09-29,1.1216,1.12496,1.11965,1.1221,127561
2016-09-30,1.12212,1.12503,1.11531,1.12399,159432
2016-10-03,1.12262,1.12439,1.12049,1.12096,103336
2016-10-04,1.12101,1.12384,1.11376,1.12042,146345
2016-10-05,1.12015,1.1233,1.11894,1.12031,127464
2016-10-06,1.1203,1.12121,1.11395,1.11493,127469
2016-10-07,1.11481,1.12048,1.1104,1.11931,187746
2016-10-10,1.1181,1.12028,1.11309,1.1139000000000001,109958
2016-10-11,1.11346,1.11419,1.10486,1.1053,147615
2016-10-12,1.1053,1.10673,1.10041,1.10046,152051
2016-10-13,1.10063,1.10573,1.09851,1.10547,121174
2016-10-14,1.10543,1.10582,1.09699,1.09711,133087
2016-10-17,1.09689,1.10076,1.09635,1.09985,109813
2016-10-18,1.09994,1.10262,1.09697,1.09794,108880
