time,open,high,low,close,volume
2015-05-18 00:00:00,0.91563,0.91764,0.91479,0.9172,1200
2015-05-18 04:00:00,0.91721,0.91898,0.91675,0.91693,1232
2015-05-18 08:00:00,0.91694,0.92178,0.91654,0.91982,2226
2015-05-18 12:00:00,0.91976,0.92171,0.91642,0.91907,4671
2015-05-18 16:00:00,0.91908,0.92481,0.91828,0.92345,18139
2015-05-18 20:00:00,0.92348,0.92644,0.92312,0.92617,9926
2015-05-19 00:00:00,0.92629,0.92644,0.9258,0.92631,3441
2015-05-19 04:00:00,0.92631,0.92717,0.9259,0.92669,6600
2015-05-19 08:00:00,0.92669,0.93629,0.92458,0.93171,21273
2015-05-19 12:00:00,0.93172,0.93785,0.92988,0.9374,19480
2015-05-19 16:00:00,0.9374,0.93841,0.93392,0.93618,20254
2015-05-19 20:00:00,0.9362,0.93831,0.93617,0.93675,8305
2015-05-20 00:00:00,0.93656,0.93843,0.93636,0.93726,6724
2015-05-20 04:00:00,0.93729,0.93782,0.93589,0.93699,6399
2015-05-20 08:00:00,0.93699,0.94052,0.93557,0.93766,18957
2015-05-20 12:00:00,0.93767,0.94041,0.93518,0.93521,20623
2015-05-20 16:00:00,0.93521,0.9404,0.93521,0.93714,23377
2015-05-20 20:00:00,0.93713,0.93875,0.93404,0.93692,17476
2015-05-21 00:00:00,0.93687,0.93709,0.93454,0.93485,5819
2015-05-21 04:00:00,0.93484,0.93557,0.93338,0.93433,7094
2015-05-21 08:00:00,0.93435,0.93817,0.93148,0.93236,20575
2015-05-21 12:00:00,0.93237,0.93573,0.93058,0.93559,20603
2015-05-21 16:00:00,0.9356,0.93722,0.93324,0.93395,21681
2015-05-21 20:00:00,0.93398,0.93676,0.93378,0.9367,8633
2015-05-22 00:00:00,0.93671,0.93778,0.93603,0.93664,5593
2015-05-22 04:00:00,0.93663,0.93668,0.9345,0.93528,7181
2015-05-22 08:00:00,0.93526,0.93572,0.93209,0.93223,15121
2015-05-22 12:00:00,0.93222,0.94257,0.92873,0.94138,19045
2015-05-22 16:00:00,0.94139,0.94563,0.94139,0.94258,21433
2015-05-22 20:00:00,0.94256,0.94493,0.94191,0.94337,9906
2015-05-25 00:00:00,0.94291,0.94503,0.94257,0.94401,8720
2015-05-25 04:00:00,0.94402,0.94439,0.94258,0.94263,6257
