time,open,high,low,close,volume
2015-09-15,120.213,120.649,119.396,120.405,162220
2015-09-16,120.405,120.724,120.104,120.555,156557
2015-09-17,120.551,120.989,119.789,119.996,158224
2015-09-18,119.986,120.408,119.051,119.962,186132
2015-09-21,120.114,120.655,119.722,120.551,149420
2015-09-22,120.537,120.605,119.691,120.144,159462
2015-09-23,120.132,120.54,119.622,120.262,168974
2015-09-24,120.248,120.387,119.222,120.041,200578
2015-09-25,120.106,121.23,120.02,120.577,201896
2015-09-28,120.496,120.588,119.693,119.913,178947
2015-09-29,119.911,120.157,119.246,119.725,198697
2015-09-30,119.727,120.346,119.545,119.872,172479
2015-10-01,119.871,120.272,119.489,119.911,173372
2015-10-02,119.912,120.401,118.676,119.903,184779
2015-10-05,119.985,120.547,119.865,120.451,164192
2015-10-06,120.453,120.564,120.104,120.22,145185
2015-10-07,120.202,120.358,119.744,120.001,156057
2015-10-08,119.996,120.105,119.621,119.924,143342
2015-10-09,119.91,120.344,119.833,120.211,127204
2015-10-12,120.163,120.26,119.89,120.024,72373
2015-10-13,120.019,120.076,119.549,119.725,106859
2015-10-14,119.722,119.796,118.628,118.826,135815
2015-10-15,118.821,119.165,118.058,118.89,147647
2015-10-16,118.873,119.659,118.826,119.459,124771
2015-10-19,119.377,119.608,119.135,119.495,123572
2015-10-20,119.482,119.959,119.396,119.842,114240
2015-10-21,119.825,120.089,119.753,119.923,121719
2015-10-22,119.913,120.768,119.61,120.685,143143
2015-10-23,120.677,121.481,120.223,121.439,159190
2015-10-26,121.468,121.485,120.595,120.986,130433
2015-10-27,120.986,121.072,120.159,120.383,134374
2015-10-28,120.383,121.257,120.019,121.101,132038
2015-10-29,121.101,121.181,120.584,121.05,127545
2015-10-30,121.051,121.483,120.275,120.603,144905
2015-11-02,120.385,120.807,120.252,120.748,98848
2015-11-03,120.748,121.227,120.594,121.059,103581
2015-11-04,121.054,121.715,120.997,121.541,138603
2015-11-05,121.549,122.0,121.383,121.738,138492
2015-11-06,121.74,123.264,121.629,123.218,134946
2015-11-09,123.256,123.601,122.973,123.178,127563
2015-11-10,123.159,123.433,123.024,123.157,125695
2015-11-11,123.128,123.219,122.734,122.853,100686
2015-11-12,122.828,123.068,122.549,122.586,131215
2015-11-13,122.58,122.986,122.435,122.606,128710
2015-11-16,122.238,123.275,122.221,123.164,133196
2015-11-17,123.164,123.484,123.164,123.436,127295
2015-11-18,123.427,123.751,123.217,123.619,113707
2015-11-19,123.624,123.629,122.618,122.863,132568
2015-11-20,122.846,123.048,122.72,122.783,112395
2015-11-23,122.821,123.255,122.778,122.819,103189
2015-11-24,122.814,122.958,122.304,122.527,122742
2015-11-25,122.545,122.931,122.254,122.709,125275
2015-11-26,122.646,122.733,122.498,122.591,85954
2015-11-27,122.577,122.876,122.302,122.709,90134
2015-11-30,122.81,123.338,122.683,123.1,100324
2015-12-01,123.1,123.271,122.637,122.871,112596
2015-12-02,122.824,123.667,122.798,123.235,106833
2015-12-03,123.236,123.557,122.294,122.598,151730
2015-12-04,122.553,123.37,122.472,123.099,147685
2015-12-07,123.208,123.473,123.148,123.366,106336
2015-12-08,123.357,123.39,122.718,122.927,117293
2015-12-09,122.915,123.042,121.071,121.438,149044
2015-12-10,121.427,121.863,121.242,121.583,134628
2015-12-11,121.563,122.226,120.576,120.959,151429
2015-12-14,121.102,121.349,120.339,120.999,170252
2015-12-15,121.018,121.789,120.572,121.677,143297
2015-12-16,121.654,122.429,121.377,122.194,154732
2015-12-17,122.185,122.872,122.184,122.547,137112
2015-12-18,122.538,123.559,121.053,121.126,172485
2015-12-21,121.212,121.5,120.835,121.166,124834
2015-12-22,121.167,121.305,120.72,121.061,108886
2015-12-23,121.047,121.132,120.809,120.905,79784
2015-12-24,120.912,120.99,120.247,120.32,64756
2015-12-28,120.103,120.626,120.103,120.379,74163
2015-12-29,120.385,120.504,120.232,120.446,76822
2015-12-30,120.43,120.65,120.348,120.508,69347
2015-12-31,120.503,120.575,119.999,120.207,58123
2016-01-04,120.196,120.462,118.699,119.447,161507
2016-01-05,119.429,119.698,118.79,119.043,151923
2016-01-06,119.039,119.166,118.247,118.457,175512
2016-01-07,118.454,118.753,117.325,117.654,198110
2016-01-08,117.645,118.838,117.223,117.229,195657
2016-01-11,117.097,118.022,116.691,117.748,176032
2016-01-12,117.735,118.068,117.223,117.638,188770
2016-01-13,117.614,118.376,117.614,117.66,170502
